,Ticker,Prediction
180,ARCH,-14.712821512947384
181,ARCH,-14.849862844196181
182,ARCH,-14.849862844196181
183,ARCH,-14.849862844196181
184,ARCH,-14.849862844196181
185,ARCH,-14.712821512947384
186,ARCH,-14.712821512947384
187,ARCH,-14.712821512947384
188,ARCH,-14.712821512947384
189,ARCH,-14.712821512947384
190,ARCH,-14.712821512947384
191,ARDX,-14.712821512947384
192,ARE,-15.009567862071629
193,ARE,-15.009567862071629
194,ARE,-15.009567862071629
195,ARE,-15.009567862071629
196,AROW,-13.027851963777819
197,AROW,-14.712821512947384
198,AROW,-14.712821512947384
199,AROW,-14.712821512947384
200,AROW,-14.712821512947384
201,AROW,-14.712821512947384
202,AROW,-14.712821512947384
203,AROW,-13.027851963777819
204,AROW,-14.712821512947384
205,ASAN,-13.027851963777819
