,Ticker,Date,Followers,pct_change,pct_change_week,pct_change_daily
369,GOEV,2023-09-20,35762,0.703987384546068,0.117581187010085,-0.016774770744798002
370,KFY,2023-09-20,35383,-0.079071474965408,-0.016954420865245002,0.002826295856639
371,ETN,2023-09-20,35233,0.196223410305985,0.022711142654374003,-0.0028381676789420002
372,BLKB,2023-09-20,35074,-0.12529187311349801,-0.045597036192646004,-0.00855261282322
373,TAP.A,2023-09-20,34561,-0.078061755522151,-0.040491684743315,-0.017357595394451003
374,TAP,2023-09-20,34561,-0.078061755522151,-0.040491684743315,-0.017357595394451003
375,PPG,2023-09-20,34543,-0.005789549862500001,-0.031834230479832006,0.0
376,ABT,2023-09-20,34511,-0.15622739765659402,-0.023175642399841,-0.008692124934805001
377,CRSP,2023-09-20,34192,0.043889165228083005,-0.005848979353106001,-0.014621165599326
378,TLRY,2023-09-20,34003,0.20924201343863702,0.058852955889698,-0.008821972593076
379,MARK,2023-09-20,33809,-0.17125815690790502,-0.023656740692545003,-0.008872589613151
380,QLYS,2023-09-20,33212,0.13567702837158402,0.048198578141955,0.0
381,ENPH,2023-09-20,32908,1.02535764720328,0.182659522649775,-0.018229324907337002
382,MDLZ,2023-09-20,32895,0.112605758110651,0.033450918379762,-0.003039883268485
383,PRI,2023-09-20,32742,0.13762730525737102,0.021383839926691,-0.018321729571269003
384,REGN,2023-09-20,32611,0.16586294806033602,0.036810945121024,0.0030665440049030004
385,CRI,2023-09-20,32233,-0.043414891307713005,-0.0031023143264860002,-0.00930636555404
386,KKR,2023-09-20,32180,0.121340344108778,0.068412214689961,-0.003107423635062
387,ALEC,2023-09-20,31929,0.15684306283132401,-0.03130968408529,-0.028179597971067002
388,USNA,2023-09-20,31673,0.0031573629704510003,0.0,-0.012627458408309
389,PM,2023-09-20,31550,0.23191536677573701,0.060258158637527,0.012679896024847
390,TROW,2023-09-20,31467,0.076328594599761,0.006356268870177001,-0.019063959584408003
391,BOOT,2023-09-20,31355,0.041477889094498004,0.0063789748987240005,-0.015943877551016002
392,USPH,2023-09-20,30900,-0.025883266468229003,-0.006472073004981001,0.0032363506909710003
393,EXTR,2023-09-20,30631,-0.061990212071783006,-0.00652890673457,-0.009793040412608001
394,CVNA,2023-09-20,30361,0.0,-0.013173061090066001,0.003293807641635
395,AEE,2023-09-20,29844,-0.056930444392355006,-0.056930444392355006,-0.030147723846851004
396,A,2023-09-20,29755,-0.016801075268813002,-0.010081322669530001,-0.016801075268813002
397,HCI,2023-09-20,29681,-0.040413565486818,-0.030313236780055004,0.0
398,AWK,2023-09-20,29267,0.140286046670779,0.020505109189716,-0.006833168198439
399,LMND,2023-09-20,29185,-0.047946847494773,-0.0034263002809620004,0.006853305006337001
400,KMB,2023-09-20,29135,-0.10286302074403701,-0.006864124652505001,-0.013727307045541001
401,CB,2023-09-20,28656,0.220333648095683,0.10130296573165301,0.03840111712341
