,Ticker,Amount,Qtr,Year
254,IT,478465.0,1,2024
255,ITCI,2917074.0,3,2021
256,ITI,83873.0,2,2020
257,ITI,518382.38,3,2020
258,ITI,4162637.14,4,2020
259,ITI,3301755.47,2,2021
260,ITI,1645776.56,4,2021
261,ITI,181240.61,2,2022
262,ITI,88388.96,3,2022
263,ITI,2950000.0,4,2022
264,ITI,169214.8,1,2023
265,ITI,1047118.4,2,2023
266,ITI,20316.5,3,2023
267,ITI,2624464.8,4,2023
268,ITIC,1737941.4,3,2020
269,ITIC,255445.25,2,2021
270,ITRI,866515.89,3,2020
271,ITRI,3745.5,4,2020
272,ITRI,134929.93,1,2021
273,ITRI,595048.73,2,2021
274,ITRI,1154.56,4,2021
275,ITRI,555237.56,2,2022
276,ITRI,151344.61,1,2023
277,ITRI,472102.53,2,2023
278,ITRM,756288.2,3,2020
279,ITT,224215.29,3,2020
280,ITT,294510.08,2,2021
281,ITT,38220.0,3,2021
282,ITT,84411.68,3,2023
283,ITW,691846.34,2,2020
284,ITW,601830.42,3,2020
285,ITW,3842284.08,4,2020
286,ITW,63464.96,1,2021
287,ITW,283253.24,2,2021
288,ITW,617337.61,3,2021
289,ITW,1422547.89,4,2021
290,ITW,63594.04,1,2022
291,ITW,662772.75,2,2022
292,ITW,728827.75,3,2022
293,ITW,4066499.88,4,2022
294,ITW,499566.4,1,2023
295,ITW,541251.3,2,2023
296,ITW,1312322.46,3,2023
297,ITW,1012113.0,4,2023
298,ITW,4200.0,1,2024
299,IVAC,2777772.0,2,2020
300,IVAC,835495.09,3,2020
301,IVAC,2209960.38,4,2020
302,IVAC,3063061.0,2,2021
303,IVAC,1297645.0,4,2021
304,IVAC,405000.0,2,2022
305,IVAC,3181297.7,3,2022
306,IVAC,4883483.93,1,2023
307,IVZ,502162.73,3,2020
308,IVZ,3757541.5,4,2020
309,IVZ,605388.06,3,2021
310,IVZ,3771779.4,4,2021
311,IVZ,17615.16,1,2022
312,IVZ,2893874.64,4,2022
313,IZEA,1937867.72,3,2020
314,JACK,3003310.41,3,2020
315,JACK,2000.0,4,2020
316,JAKK,10172000.0,3,2020
317,JAN,1904420.15,3,2020
318,JAN,10000.0,4,2020
319,JBI,65490.48,3,2020
320,JBI,91389.94,2,2021
321,JBL,18536.26,3,2020
322,JBL,30736.0,4,2020
323,JBL,14815.62,2,2021
324,JBL,15555.0,3,2021
325,JBLU,935754826.0,3,2020
326,JBLU,29496983.58,4,2020
327,JBLU,1240195.17,1,2021
328,JBLU,504610551.0,2,2021
329,JBLU,616996658.6,3,2021
330,JBLU,262091.55,4,2021
331,JBLU,89378.13,1,2022
332,JBLU,224303.34,2,2022
333,JBLU,504660.56,4,2022
334,JBLU,1500.0,1,2023
335,JBLU,204251.6,2,2023
336,JBLU,56689.21,3,2023
337,JBT,118115.6,2,2020
338,JBT,275416.2,3,2020
339,JBT,40563.3,4,2020
340,JBT,133353.32,1,2021
341,JBT,39945.15,2,2021
342,JBT,247843.46,3,2021
343,JBT,25538.67,4,2021
344,JBT,59798.0,1,2022
345,JBT,22749.82,2,2022
346,JBT,6359840.77,4,2022
347,JBT,752316.4,1,2023
348,JBT,79635.88,2,2023
349,JBT,55955.17,3,2023
350,JBT,23808.18,4,2023
351,JCTCF,495505.58,3,2020
352,JILL,556620.97,3,2020
353,JILL,3309.66,4,2020
354,JILL,9820.92,1,2021
355,JILL,235430.41,2,2021
356,JILL,14000.0,3,2021
357,JILL,5000.0,4,2021
358,JJSF,33033.57,3,2020
359,JJSF,20430.0,4,2020
360,JKHY,18260.55,4,2020
361,JLL,16365978.61,2,2020
362,JLL,29056372.77,3,2020
363,JLL,18392206.63,4,2020
364,JLL,7057154.06,1,2021
365,JLL,15260097.91,2,2021
366,JLL,37656339.29,3,2021
367,JLL,17942404.66,4,2021
368,JLL,5312139.06,1,2022
369,JLL,12736136.99,2,2022
370,JLL,52172631.75,3,2022
371,JLL,32104409.73,4,2022
372,JLL,19352748.82,1,2023
373,JLL,20474335.53,2,2023
374,JLL,44263512.27,3,2023
375,JLL,26577174.44,4,2023
376,JLL,16372.01,1,2024
377,JNJ,141015583.4,2,2020
378,JNJ,1042713182.26,3,2020
379,JNJ,316225974.73,4,2020
380,JNJ,111126992.54,1,2021
381,JNJ,684578372.27,2,2021
382,JNJ,1026035986.01,3,2021
383,JNJ,193781974.67,4,2021
384,JNJ,131746242.22,1,2022
385,JNJ,140781640.64,2,2022
386,JNJ,142597406.38,3,2022
387,JNJ,278116580.08,4,2022
388,JNJ,105023998.57,1,2023
389,JNJ,175018174.39,2,2023
390,JNJ,150552822.03,3,2023
391,JNJ,112171280.98,4,2023
392,JNJ,3159969.89,1,2024
393,JOAN,439387.65,3,2020
394,JOAN,264583.89,4,2020
395,JOAN,360549.34,2,2021
396,JOAN,20615.56,3,2021
397,JOAN,43890.92,4,2021
398,JOE,1807062.84,3,2020
399,JOE,67584.78,2,2021
400,JOE,635449.13,3,2021
401,JOE,256641.01,4,2021
402,JOE,35000.0,4,2022
403,JOE,47706.28,4,2023
404,JRSH,10000.0,3,2020
405,JRSH,3405.0,4,2020
406,JYNT,4521395.45,2,2020
407,JYNT,25836741.17,3,2020
408,JYNT,8766569.56,4,2020
409,JYNT,1247876.84,1,2021
410,JYNT,12085455.32,2,2021
411,JYNT,7797724.06,3,2021
412,JYNT,8771395.84,4,2021
413,JYNT,3466115.03,1,2022
414,JYNT,5514610.11,2,2022
415,JYNT,4829702.3,3,2022
416,JYNT,6744313.64,4,2022
417,JYNT,1296949.39,1,2023
418,JYNT,4239915.16,2,2023
419,JYNT,332933.1,3,2023
420,JYNT,2128972.02,4,2023
421,JVA,7772270.11,3,2020
422,JVA,28395.6000000001,4,2020
423,JVA,1860568.23,2,2021
424,JVA,4055799.8,3,2021
425,JVA,8920.0,4,2021
426,JVA,35160.0,1,2022
427,JVA,216820.0,2,2022
428,JVA,5274.0,3,2022
429,JWN,469232.61,2,2020
430,JWN,5001009.4,3,2020
431,JWN,448122.63,4,2020
432,JWN,14858.8,1,2021
433,JWN,3209727.39,2,2021
434,JWN,1457284.06,3,2021
435,JWN,2642368.28,4,2021
436,JWN,1483740.32,1,2022
437,JWN,214019.84,2,2022
438,JWN,1464767.8,3,2022
439,JWN,5525158.48,4,2022
440,JWN,89704.3,1,2023
441,JWN,645236.03,2,2023
442,JWN,232547.0,3,2023
443,JWN,130529.64,4,2023
444,JXN,762515.76,3,2020
445,JXN,141629.14,4,2020
446,JXN,166139.94,2,2021
447,JXN,46286.04,3,2021
448,JXN,25000.0,4,2021
449,JXN,15000.0,1,2022
450,JXN,41020.0,3,2022
451,K,2750515.59,2,2020
452,K,15760534.01,3,2020
453,K,8639588.29,4,2020
454,K,99131.37,1,2021
455,K,14066555.94,2,2021
456,K,11464255.32,3,2021
457,K,2790134.8,4,2021
458,K,298810.98,1,2022
459,K,2435219.57,2,2022
460,K,1021691.13,3,2022
461,K,2821521.45,4,2022
462,K,2531325.23,2,2023
463,K,1832506.95,3,2023
464,K,3080614.98,4,2023
465,KAI,6532.63,2,2020
466,KAI,18945.0,1,2021
467,KAI,5714.0,2,2021
468,KAI,1008.0,3,2021
469,KAI,14935.95,4,2021
470,KAI,15489.8,2,2022
471,KAI,12422.0,4,2022
472,KAI,21322.0,2,2023
473,KAI,5302.0,3,2023
474,KALU,1000.0,3,2020
475,KALU,50553.75,2,2021
476,KAMN,1634322.99,2,2020
477,KAMN,7502957.38,3,2020
478,KAMN,59347116.15,4,2020
479,KAMN,375402.36,1,2021
480,KAMN,2394765.11,2,2021
481,KAMN,4754881.38,3,2021
482,KAMN,46812117.39,4,2021
483,KAMN,1439241.78,1,2022
484,KAMN,1346202.01,2,2022
485,KAMN,1077472.15,3,2022
486,KAMN,1897799.14,4,2022
487,KAMN,254047.32,1,2023
488,KAMN,364352.23,2,2023
489,KAMN,268231.9,3,2023
490,KAMN,1309348.21,4,2023
491,KBH,815298.9,3,2020
492,KBH,15018.58,4,2020
493,KBH,22354.14,2,2021
494,KBH,3648.28,3,2021
495,KBH,28000.0,1,2022
496,KBNT,353665.57,3,2020
497,KFY,49257.5,2,2021
498,KEQU,70144.0,3,2020
499,KERN,2242519.12,3,2020
500,KEX,7164.6,2,2020
501,KEX,1557934.94,3,2020
502,KEX,2543.2,4,2020
503,KEX,7646.82,1,2021
504,KEX,1281718.12,2,2021
505,KEX,17409.97,3,2021
506,KEX,22071.59,4,2021
507,KEX,17358.36,1,2022
508,KEX,1726.55,2,2022
509,KEX,7495.92,3,2022
510,KEX,11760.53,4,2022
511,KEX,7848.75,1,2023
512,KEX,5930.07,2,2023
513,KEX,2869.4,3,2023
514,KEX,720.0,4,2023
515,KEY,22123.36,3,2020
516,KEYS,7724445.31,2,2020
517,KEYS,9802477.71,3,2020
518,KEYS,22961856.82,4,2020
519,KEYS,2762037.54,1,2021
520,KEYS,5632302.96,2,2021
521,KEYS,3785505.65,3,2021
522,KEYS,9860230.55,4,2021
523,KEYS,3668680.87,1,2022
524,KEYS,8285296.18,2,2022
525,KEYS,2201485.44,3,2022
526,KEYS,6705633.08,4,2022
527,KEYS,2754320.82,1,2023
528,KEYS,4973310.3,2,2023
529,KEYS,9256148.28,3,2023
530,KEYS,1432023.86,4,2023
531,KFRC,37326.65,3,2020
532,KFRC,11494.36,4,2020
533,KHC,13147.05,2,2020
534,KHC,255360.0,3,2020
535,KHC,291270.0,2,2022
536,KHC,454277.47,1,2023
537,KHC,17472.21,2,2023
538,KIDS,20000.0,1,2021
539,KIDS,143369.16,3,2021
540,KIDS,67435.65,4,2021
541,KIDS,613571.0,1,2022
542,KIDS,27471.64,2,2022
543,KIDS,11457.43,4,2022
544,KIDS,667297.47,1,2023
545,KIDS,32735.0,4,2023
546,KIND,1403491.91,3,2020
547,KIND,18994.45,4,2020
548,KIND,15000.0,3,2021
549,KIND,10000.0,4,2021
550,KIND,300000.0,3,2022
551,KIND,250000.0,4,2023
552,KIRK,1198131.66,3,2020
553,KIRK,5911.08,4,2020
554,KIRK,3914.68,2,2021
555,KIRK,10000.0,3,2021
556,KIRK,5000.0,4,2021
557,KIRK,4172.32,2,2022
558,KLAC,50850.64,3,2020
559,KLAC,24970.96,2,2021
560,KLAC,45614.4,3,2021
561,KLAC,1172450.52,4,2021
562,KLAC,75000.0,2,2022
563,KLAC,30712.0,3,2022
564,KLAC,320271.0,4,2022
565,KLAC,105053.23,2,2023
566,KLAC,13959.0,3,2023
567,KLAC,1712059.01,4,2023
568,KLTR,52762.78,4,2020
569,KLTR,499.52,1,2021
570,KLTR,42120.0,4,2021
571,KLTR,9486.36,2,2022
572,KLTR,42120.01,1,2023
573,KMB,169339.49,3,2020
574,KMB,33543.32,4,2020
575,KMB,206161.14,2,2021
576,KMB,239324.07,3,2021
577,KMB,14412.52,1,2022
578,KMB,8649.36,3,2022
579,KMDA,106734.8,3,2020
580,KMDA,1348.38,4,2020
581,KMDA,91234.96,2,2021
582,KMI,302915.0,4,2020
583,KMI,1267487.0,3,2021
584,KMI,202025.0,4,2021
585,KMI,829855.0,4,2022
586,KMI,53170380.0,1,2023
587,KMI,195525.0,4,2023
588,KMX,4712.87,3,2020
589,KMX,10000.0,4,2020
590,KMX,10553.55,3,2021
591,KN,153206.29,2,2020
592,KN,18618175.56,3,2020
593,KN,958049.4,4,2020
594,KN,42351.52,1,2021
595,KN,9957559.14,2,2021
596,KN,4907523.95,3,2021
597,KN,52556.76,1,2022
598,KN,220245.56,2,2022
599,KN,169794.55,3,2022
600,KN,13549.0,4,2022
601,KN,10000.0,3,2023
602,KN,12394.0,4,2023
603,KNTK,371544.01,3,2020
604,KNTK,13211.4,4,2020
605,KNTK,372074.16,2,2021
606,KNTK,80618.11,3,2021
607,KNTK,15297.8,4,2021
608,KNTK,35160.0,1,2022
609,KNTK,2185.24,2,2022
610,KO,1797693.13,2,2020
611,KO,46929358.62,3,2020
612,KO,1512134.63,4,2020
613,KO,2688244.02,1,2021
614,KO,3876044.0,2,2021
615,KO,2290862.59,3,2021
616,KO,2583927.54,4,2021
617,KO,2471710.4,1,2022
618,KO,3179035.62,2,2022
619,KO,1728335.49,3,2022
620,KO,1734066.68,4,2022
621,KO,1721486.19,1,2023
622,KO,1591845.09,2,2023
623,KO,1775705.63,3,2023
624,KO,255108.7,4,2023
625,KODK,126224.96,2,2020
626,KODK,122825.27,3,2020
627,KODK,73362.3,4,2020
628,KODK,578046.02,1,2021
629,KODK,23698.5,2,2021
630,KODK,140130.99,3,2021
631,KODK,56159.88,4,2021
632,KODK,212989.12,1,2022
633,KODK,102870.55,2,2022
634,KODK,47911.44,4,2022
635,KODK,200037.6,2,2023
636,KODK,82034.04,3,2023
637,KODK,9803.03,4,2023
638,KR,1205156.79,3,2020
639,KR,19847.26,4,2020
640,KR,13380.0,1,2021
641,KR,670006.59,2,2021
642,KR,72596.07,3,2021
643,KR,1330.72,4,2021
644,KR,12563.84,2,2022
645,KOPN,290872.0,3,2020
646,KOPN,3931.94,4,2020
647,KOPN,105281.69,2,2021
648,KOPN,39672.44,3,2021
649,KORE,546793.68,3,2020
650,KORE,23102.44,4,2020
651,KORE,657530.2,2,2021
652,KORE,11189.87,3,2021
653,KOS,49257.5,2,2021
654,KOSS,526009.38,3,2020
655,KPLT,1002797.39,3,2020
656,KPLT,28070.55,2,2021
657,KPLT,10222.04,4,2021
658,KPLT,4102.0,3,2022
659,KRNL,2000.0,3,2020
660,KRNL,14000.0,1,2022
661,LOCL,106093.96,3,2020
662,LOCL,12830.0,3,2022
663,LOCL,500000.0,4,2023
664,KSCP,838004.04,3,2020
665,KSCP,10000.0,4,2020
666,KSS,259095.0,3,2020
667,KSS,9217.87,4,2020
668,KSS,5544.84,2,2021
669,KSS,289036.59,4,2022
670,KTRA,1254180.0,3,2023
671,LASR,599897.0,2,2020
672,LASR,2856082.01,3,2020
673,LASR,5570636.54,4,2020
674,LASR,306528.0,1,2021
675,LASR,249996.0,2,2021
676,LASR,752028.36,3,2021
677,LASR,1775693.0,4,2021
678,LASR,527235.0,1,2022
679,LASR,579523.0,3,2022
680,LASR,1132472.0,4,2022
681,LASR,571490.0,3,2023
682,KURA,49257.5,2,2021
683,KVHI,9308438.34,2,2020
684,KVHI,7141425.76,3,2020
685,KVHI,226312.0,4,2020
686,KVHI,460021.0,1,2021
687,KVHI,3254524.82,2,2021
688,KVHI,103746.24,3,2021
689,KVHI,2858545.75,4,2021
