,Ticker,App,Created,Publisher,Rating,Count,Time
173,BKE,Buckle - Shop & Reserve,2016-09-02,"The Buckle, Inc.",3.56061,198,2023-10-17
174,BKR,Rig Count,2010-09-26,Baker Hughes Company,2.4,10,2023-10-17
175,BKR,WellLink™ RT for iPhone,2014-06-04,Baker Hughes Company,4.2,5,2023-10-17
176,BKS,My College Bookstore,2014-10-15,Barnes & Noble College Booksellers LLC,3.88627,721,2023-10-17
177,BKU,BankUnited,2021-02-10,"BankUnited, Inc",4.74418,1118,2023-10-17
178,BKYI,BIO-key MobileAuth,2021-04-27,"BIO-key International, Inc.",5.0,10,2023-10-17
179,BLK,BlackRock Events,2018-08-18,"BlackRock Financial Management, Inc.",4.5,8,2023-10-17
180,BLK,BlackRock Institutional,2018-09-28,"BlackRock Financial Management, Inc.",4.28986,69,2023-10-17
181,BLKB,Blackbaud MobilePay Terminal,2021-03-22,"Blackbaud, Inc.",3.0,4,2023-10-17
182,BLKB,Blackbaud Events,2019-06-26,"Blackbaud, Inc.",1.0,2,2023-10-17
183,BLKB,Blackbaud MobilePay Terminal,2021-03-22,"Blackbaud, Inc.",3.0,4,2023-10-17
184,BMI,EyeOnWater,2014-09-14,"Badger Meter, Inc.",4.74156,20539,2023-10-17
185,BMI,California Water Service,2018-08-31,"Badger Meter, Inc.",2.75,4,2023-10-17
186,BMI,Hawaii Water Service,2016-12-15,"Badger Meter, Inc.",0.0,0,2023-10-17
187,BMI,New Mexico Water Service,2017-09-07,"Badger Meter, Inc.",0.0,0,2023-10-17
188,BMO,BMO Spend Dynamics,2018-04-22,Bank of Montreal,1.54167,48,2023-10-17
189,BNFT,Benefitfocus Health Accounts,2017-07-31,Benefitfocus.com,3.58333,48,2023-10-17
190,BNFT,Benefitfocus Billing,2018-11-01,Benefitfocus.com,3.0,2,2023-10-17
191,BNFT,Benefitplace,2013-09-22,Benefitfocus.com,4.60792,19807,2023-10-17
192,BNFT,Benefitfocus Events,2020-01-31,Benefitfocus.com,5.0,3,2023-10-17
193,BNFT,Benefitfocus: New Frontiers,2018-10-27,Benefitfocus.com,0.0,0,2023-10-17
194,BOH,BOH Mobile Banking,2012-02-10,Bank of Hawaii,4.80468,64611,2023-10-17
195,BOKF,BOK Financial Mobile Banking,2010-11-15,BOK Financial Corporation,4.85055,4269,2023-10-17
196,BOKF,Start Right Retire Right,2014-01-10,BOK Financial Corporation,4.74428,1791,2023-10-17
197,BOKF,TransFund ATM Locator,2013-05-14,BOK Financial Corporation,5.0,4,2023-10-17
198,BOTJ,Bank of the James,2015-03-04,Bank of the James Financial Group Inc,4.8071,845,2023-10-17
199,BOX,Box: The Content Cloud,2019-02-12,"Box, Inc.",4.76659,174275,2023-10-17
200,BOX,Dropbox: Cloud Files Storage,2009-09-29,"Dropbox, Inc.",4.77426,385477,2023-10-17
201,BOX,Jack in the Box® Order App,2017-10-03,Jack in the Box Inc.,4.05945,14194,2023-10-17
202,AAP,Advance Auto Parts,2020-03-31,"Advance Auto Parts, Inc.",4.79919,49495,2023-10-17
203,AAP,Advance Professional,2015-03-12,"Advance Auto Parts, Inc.",3.38889,18,2023-10-17
204,AAP,Carquest Professional,2020-01-03,"Advance Auto Parts, Inc.",1.66667,6,2023-10-17
205,AAXN,Axon View,2012-09-11,"Axon Enterprise, Inc.",1.7708300000000001,48,2023-10-17
206,AAXN,Axon Capture,2013-08-14,"Axon Enterprise, Inc.",3.34783,46,2023-10-17
207,AAXN,Axon Device Manager,2018-05-20,"Axon Enterprise, Inc.",4.5,8,2023-10-17
208,AAXN,Axon Respond,2021-11-24,"Axon Enterprise, Inc.",4.2,5,2023-10-17
209,AAXN,Axon Insider,2016-10-11,"Axon Enterprise, Inc.",5.0,3,2023-10-17
210,ABBV,Complete - Medication Tracker,2015-08-27,AbbVie Inc,4.57899,2228,2023-10-17
211,ABBV,AbbVie Supply Chain Mobile App,2017-02-08,AbbVie Inc,0.0,0,2023-10-17
212,ABC,My GNP,2014-05-01,AmerisourceBergen Services Corporation,4.64137,1726,2023-10-17
213,ABC,ABC Order CSP Mobile,2016-11-23,AmerisourceBergen Services Corporation,1.8333300000000001,54,2023-10-17
214,ABC,MWI Mobile,2020-07-13,AmerisourceBergen Services Corporation,4.81818,22,2023-10-17
215,ABC,AB Meeting,2018-12-31,AmerisourceBergen Services Corporation,3.4,5,2023-10-17
216,ABEV,Beer Lovers Ambev,2016-09-20,Ambev SA,0.0,0,2023-10-17
217,ABEV,VPO Fórum,2019-12-13,Ambev SA,0.0,0,2023-10-17
218,ABM,ABM Service Requests,2017-08-14,ABM Industries Inc.,2.22222,9,2023-10-17
219,ABMD,Impella App,2016-09-02,"Abiomed, Inc.",4.11111,9,2023-10-17
220,ABMD,CAMP Edu,2020-11-17,"Abiomed, Inc.",0.0,0,2023-10-17
221,ABT,ALEC Mobile Banking,2016-02-23,Abbott Laboratories Employees Credit Union,4.77874,1939,2023-10-17
222,ACCO,TruSens,2020-10-30,ACCO Brands USA LLC,2.45454,11,2023-10-17
223,ACCO,SmarTech Shredder,2017-07-14,ACCO Brands USA LLC,3.0,2,2023-10-17
224,ACEL,AE Accelerator,2020-01-15,"Accel Entertainment Gaming, LLC",5.0,1,2023-10-17
225,ACNB,ACNB Bank Mobile App,2012-08-08,ACNB Bank,4.39675,431,2023-10-17
226,ACNB,Advantage Rewards - ACNB,2018-09-11,ACNB Bank,0.0,0,2023-10-17
227,ACNB,Advantage Rewards - NWSB,2018-09-11,ACNB Bank,0.0,0,2023-10-17
228,ACU,FAO SafetyHub,2017-07-20,Acme United Corporation,3.7,10,2023-10-17
229,ADBE,Adobe Acrobat Reader: Edit PDF,2011-10-17,Adobe Inc.,4.65621,255487,2023-10-17
230,ADBE,Lightroom Video & Photo Editor,2014-06-22,Adobe Inc.,4.7745,236968,2023-10-17
231,ADBE,Adobe Premiere Rush：Edit Video,2018-10-15,Adobe Inc.,4.64064,114565,2023-10-17
232,ADBE,Adobe Scan: PDF & OCR Scanner,2017-05-31,Adobe Inc.,4.87535,1206078,2023-10-17
233,ADBE,Adobe Fill & Sign－Form Filler,2015-01-14,Adobe Inc.,4.82871,108353,2023-10-17
234,ADI,ADI OtoSense SMS,2020-06-27,"Analog Devices, Inc.",0.0,0,2023-10-17
235,ADI,ADI Study Watch,2021-09-17,"Analog Devices, Inc.",0.0,0,2023-10-17
236,ADP,Impresora UCM,2019-11-13,AUTOMATIC DATA PROCESSING EUROPA SOCIEDAD LIMITADA,0.0,0,2023-10-17
237,ADP,Impresora Reproexpres,2020-01-16,AUTOMATIC DATA PROCESSING EUROPA SOCIEDAD LIMITADA,0.0,0,2023-10-17
238,ADP,eWinLab,2018-05-27,AUTOMATIC DATA PROCESSING EUROPA SOCIEDAD LIMITADA,5.0,1,2023-10-17
239,DOCU,DS - Legacy,2020-08-31,DocuSign,4.85477,902,2023-10-17
240,ADP,Impresora UPV,2020-12-01,AUTOMATIC DATA PROCESSING EUROPA SOCIEDAD LIMITADA,0.0,0,2023-10-17
241,ADSK,AutoCAD,2010-09-29,Autodesk,4.41831,6201,2023-10-17
242,ADSK,BIM 360 Ops,2014-12-03,Autodesk,3.63636,11,2023-10-17
243,ADTN,ADTRAN IoT,2021-03-02,"ADTRAN, INC",2.83333,6,2023-10-17
244,AEE,Ameren Mobile,2014-07-10,Ameren Corporation,4.74896,11265,2023-10-17
245,AEG,Mijn Aegon,2013-09-13,AEGON Nederland N.V.,4.35714,14,2023-10-17
246,AEG,Aegon Events,2017-08-16,AEGON N.V.,0.0,0,2023-10-17
247,AEG,Aegon UK,2020-09-02,AEGON UK CORPORATE SERVICES LTD,2.2,5,2023-10-17
248,AEG,Knab Bankieren,2014-07-26,AEGON Bank N.V.,4.79518,83,2023-10-17
249,AFG,AFG Events,2017-02-01,"American Financial Group, Inc.",5.0,2,2023-10-17
250,AFYA,Medcel Residência Médica,2019-02-28,AFYA PARTICIPACOES SA,5.0,1,2023-10-17
251,CHTR,Spectrum TV,2011-03-15,"Charter Communications Operating, LLC",4.69095,432926,2023-10-17
252,BOX,Box for EMM,2014-06-05,"Box, Inc.",3.05556,18,2023-10-17
253,BPR,Retail Tenant Hub - Brookfield,2019-09-11,Brookfield Property REIT Inc.,3.57143,7,2023-10-17
254,BPR,Retail Tenant Hub - Brookfield,2019-09-11,Brookfield Property REIT Inc.,3.57143,7,2023-10-17
255,BPRN,The Bank of Princeton,2013-06-11,Bank of Princeton,4.56064,437,2023-10-17
256,BPRN,The Bank of Princeton Business,2020-12-14,Bank of Princeton,0.0,0,2023-10-17
257,BRFS,BRF - Comunicação Corporativa,2018-09-06,BRF S.A.,0.0,0,2023-10-17
258,BRFS,BRF ECCO GAME,2021-09-21,BRF S.A.,0.0,0,2023-10-17
259,BRK.B,Berkshire Hathaway Travel App,2014-05-02,Berkshire Hathaway Travel Protection,2.5,2,2023-10-17
260,BRKR,CTvox,2013-02-27,Bruker microCT,5.0,1,2023-10-17
261,BRKR,Cactus Tools,2020-11-02,Bruker Daltonik GmbH,5.0,1,2023-10-17
262,BSVN,Bank7 Mobiliti,2012-08-21,Bank7,4.85686,503,2023-10-17
263,BSVN,Bank7 Business Mobiliti,2016-04-07,Bank7,0.0,0,2023-10-17
264,BSX,Boston Scientific Events,2017-12-08,Boston Scientific,5.0,3,2023-10-17
265,BSX,PainScale - Pain Tracker Diary,2017-07-11,Boston Scientific,4.52593,405,2023-10-17
266,BSX,MyLATITUDE,2018-03-13,Boston Scientific,2.73333,75,2023-10-17
267,BSX,mySCS,2019-02-02,Boston Scientific,3.9375,48,2023-10-17
268,BUD,Anheuser-Busch Events,2023-06-30,Anheuser-Busch InBev,0.0,0,2023-10-17
269,BUD,MyCooler,2022-05-25,Anheuser-Busch InBev,4.49342,608,2023-10-17
270,BUD,BudExpress,2020-03-17,Anheuser-Busch InBev,2.15789,19,2023-10-17
271,BVSN,clearvale,2010-10-01,BroadVision,5.0,1,2023-10-17
272,BVSN,Vmoso: Enterprise Digital Hub,2014-08-15,BroadVision,5.0,4,2023-10-17
273,BWAY,BrainsWay MDD for Depression,2020-05-03,Brainsway Ltd,1.0,1,2023-10-17
