,Date,Ticker,Weekly Views,pct_change_month,pct_change_week
1666,2023-10-16,CWST,41,46.4285714285714,2.4999999999999902
1667,2023-10-16,HP,40,-18.3673469387755,-23.0769230769231
1668,2023-10-16,NNBR,40,-4.76190476190477,-6.97674418604651
1669,2023-10-16,DMRC,40,-18.3673469387755,29.0322580645161
1670,2023-10-16,HAIA,40,-33.3333333333333,-40.2985074626866
1671,2023-10-16,IOVA,40,-33.3333333333333,48.1481481481481
1672,2023-10-16,VICR,40,-16.6666666666667,21.2121212121212
1673,2023-10-16,FCFS,40,-13.0434782608696,-37.5
1674,2023-10-16,AM,40,-23.0769230769231,-25.9259259259259
1675,2023-10-16,SKYW,40,21.2121212121212,29.0322580645161
1676,2023-10-16,HAE,40,-6.97674418604651,25.0
1677,2023-10-16,MN,40,33.3333333333333,-4.76190476190477
1678,2023-10-16,EURN,40,-9.09090909090909,-62.6168224299065
1679,2023-10-16,AR,40,-23.0769230769231,-25.9259259259259
1680,2023-10-16,MESA,40,-28.5714285714286,-18.3673469387755
1681,2023-10-16,STRS,40,11.1111111111111,-16.6666666666667
1682,2023-10-16,FPI,40,17.6470588235294,21.2121212121212
1683,2023-10-16,AMSC,40,-14.8936170212766,-6.97674418604651
1684,2023-10-16,SWN,40,-23.0769230769231,-2.4390243902439
1685,2023-10-16,BRX,40,14.2857142857143,5.26315789473684
1686,2023-10-16,EGAN,40,0.0,2.56410256410255
1687,2023-10-16,THRM,40,33.3333333333333,2.56410256410255
1688,2023-10-16,DCO,40,25.0,-21.5686274509804
1689,2023-10-16,CLB,39,69.5652173913043,56.0
1690,2023-10-16,SXT,39,5.40540540540539,5.40540540540539
1691,2023-10-16,BEAM,39,0.0,34.4827586206897
1692,2023-10-16,HMST,39,39.2857142857143,69.5652173913043
1693,2023-10-16,ASRT,39,11.4285714285714,62.5
1694,2023-10-16,BPOP,39,-29.0909090909091,56.0
1695,2023-10-16,TATT,39,77.2727272727273,-32.7586206896552
1696,2023-10-16,CRGO,39,14.7058823529412,-2.5
1697,2023-10-16,ACHC,39,11.4285714285714,18.1818181818182
1698,2023-10-16,CUZ,39,62.5,105.263157894737
1699,2023-10-16,SD,39,21.875,44.4444444444444
